Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с ипользованием валидных данных,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": - Test_qa
2. Поле ""Пароль"": - 12345678","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Пользователь авторизован в системе. Отображен личный кабинет пользователя
2. Происходит переход на главную страницу.",
TS-01,TC-02,High,Форма авторизации,Успешная авторизация путем нажатия клавиши Enter,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": - Test_qa
2. Поле ""Пароль"": - 12345678","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in"" нажатиев клавиши Enter","1. Пользователь авторизован в системе. Отображен личный кабинет пользователя
2. Происходит переход на главную страницу.",
TS-01,TC-03,High,Форма авторизации,Неуспешная авторизация пользователя c незаполненными полями,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": - Test_qa
2. Поле ""Пароль"": - 12345678","1. Ввести значение только в поле «пароль» 
2. Оставить поле «логин» пустым",1. Отображается подсказка «Поле не должно быть пустым» под полем «Логин»,
TS-01,TC-04,High,Форма авторизации,Неуспешная авторизация пользователя c незаполненными значением в поле «логин»,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя","1. Поле ""Пароль"": - 12345678","1. Ввести данные в поле «Пароль»
2. Оставить поле ""Логин"" пустым",1. Поле «Логин» подсвечивается и отображается ошибка об отсутствии данных в этом поле,
TS-01,TC-05,High,Форма авторизации,Неуспешная авторизация пользователя c незаполненными значением в поле «пароль»,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": - Test_qa
","1. Ввести данные в поле «Логин»
2. Оставить поле ""Пароль"" пустым",1. Поле «Пароль» подсвечивается и отображается ошибка об отсутствии данных в этом поле,
TS-01,TC-06,High,Форма авторизации,Неуспешная авторизация пользователя с использованием невалидным данных,"1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": - ?/;}[Ффф
2. Поле ""Пароль"": - {}|\12345678","1. Ввести в поле «Пароль» специальные символы и кириллицу 
2. Ввести в поле «Логин» специальные символы и цифры","1. Отображается подсказка о неккоректности введенных данных
2. Пользователь не авторизован в системе.",
TS-01,TC-07,High,Форма авторизации,"Наличие функции ""Создать аккаунт"" на форме авторизации","1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": - Test_qa
2. Поле ""Пароль"": - 12345678""
3. Поле ""Email"": - test1122@mail.ru
4. Номер телефона: 8(999)987-66-55","1. Нажать на кнопку ""Создать аккаунт""
2. Ввести корректные данные в форму регистрации
","1. Происходит переход на форму регистрации. 
2. Отображены обязательные поля для создания аккаунта.",
TS-01,TC-08,High,Форма авторизации,"Успешный переход на страницу регистрации при клике по кнопке ""Нет аккаунта? Создать аккаунт""","1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе.
",,"1. Кликнуть на кнопку ""Нет аккаунта? Создать аккаунт""
",Происходит переход на страницу регистрации нового пользователя,
TS-01,TC-09,High,Форма авторизации,"Успешный переход на страницу восстановления пароля при клике по кнопке ""Забыли пароль?""","1. Открыт сайт: -  ""ShcoolQA""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе"".
",,"1. Кликнуть на кнопку ""Забыли пароль?""",1. Происходит переход на страницу восстановления пароля,
